dialogue_id,clip_id,role,text,label_2,label_1,mode,id
11,9,咨询人,我现在非常失落，这种错误也太常出现了吧。,negative,2,test,11_9
12,1,咨询人,这个社保缴费系统太让人生气了，我已经多次缴纳了费用，可是每次都会出现问题！,negative,3,train,12_1
12,3,咨询人,听到您这样的回答，我觉得有些平和，但是我需要的是能够解决问题的具体方案。,positive,5,train,12_3
12,5,咨询人,我现在还是非常生气，因为这种错误已经发生了多次！,negative,3,train,12_5
12,7,咨询人,现在我觉得自己非常失落，因为这种问题一直没有解决。,negative,2,train,12_7
12,9,咨询人,听到您的回答，我觉得有些认可，但是我还是非常着急，需要一个快速有效的解决方案！,positive,1,train,12_9
12,11,咨询人,我现在非常担心，这种错误会不会再次发生？,negative,4,train,12_11
13,1,咨询人,这个社保缴费系统出问题了，我现在已经无法继续进行缴费了，我非常生气！,negative,3,valid,13_1
13,3,咨询人,听到您这样的回答，我觉得有些平和，但是我需要一个具体的方案来解决这个问题！,positive,5,train,13_3
13,5,咨询人,我现在非常认可您的回答，但我还是非常着急，因为我需要尽快完成缴费！,positive,1,train,13_5
13,7,咨询人,听到您这样的回答，我依然不接受！因为这种问题已经发生了多次，而这次却比以前更加严重！,negative,0,test,13_7
13,9,咨询人,我现在感到非常失落，因为我已经多次提出类似的问题，而这个系统依然不能够正常工作！,negative,2,train,13_9
13,11,咨询人,我现在非常担心这个问题会影响我的社保缴费记录，会产生什么负面影响？,negative,4,train,13_11
14,1,咨询人,我在社保缴费时遇到了问题，这个系统一直无法连接，我现在非常生气！,negative,3,train,14_1
14,3,咨询人,听到您的回答，我现在依然不接受，因为这种问题已经发生多次了！,negative,0,train,14_3
14,5,咨询人,听到您这样的回答，我觉得有些平和，但是我还是非常着急，因为我需要尽快完成缴费！,positive,1,train,14_5
14,7,咨询人,此时此刻，我依然倍感失落，因为这种问题居然依然存在！,negative,2,valid,14_7
14,9,咨询人,听到您这样的回答，我现在非常认可您的工作。,positive,6,train,14_9
15,1,咨询人,社保缴费一直不能成功，这让我非常生气！,negative,3,train,15_1
15,3,咨询人,听到您的回答，我现在依然不接受，因为这个问题已经持续了一个星期！,negative,0,train,15_3
15,5,咨询人,听到您这样的回答，我依然着急，因为我需要尽快完成缴费！,negative,1,test,15_5
15,7,咨询人,但是我现在感到很失落，因为这种问题居然还没有得到解决！,negative,2,train,15_7
15,9,咨询人,听到您这样的回答，我现在有些平静，但仍然担心是否能及时缴费。,negative,4,test,15_9
15,11,咨询人,听到您这样的回答，我现在非常认可您的工作。,positive,6,valid,15_11
16,1,咨询人,你们的缴费系统简直是个噩梦，我非常生气！,negative,3,train,16_1
16,3,咨询人,听到这样的回答，我现在依然不接受，因为你们已经几次承诺解决这个问题，但问题依然存在！,negative,0,valid,16_3
16,5,咨询人,但是我现在感到非常着急，因为时间已经拖延了这么久！,negative,1,train,16_5
16,7,咨询人,但我现在感到非常失落，因为这个问题影响了我的日常事务。,negative,2,train,16_7
16,9,咨询人,但是我现在还是很担心，因为这个问题对我造成了很大的影响。,negative,4,train,16_9
16,11,咨询人,听到这样的回答，我现在非常认可您们的态度。,positive,6,train,16_11
17,1,咨询人,你们社保缴费系统出了问题，我已经生气到不行了！,negative,3,train,17_1
17,3,咨询人,听到这样的回答，我现在还是不接受，因为这个问题已经拖延很久了！,negative,0,train,17_3
17,5,咨询人,但是我现在很着急，因为缴费截止日期就要到了！,negative,1,train,17_5
17,7,咨询人,但我现在感到非常失落，因为我无法正常完成我的任务。,negative,2,test,17_7
17,9,咨询人,但是我现在非常担心，这个问题会对我的信用造成负面影响。,negative,4,valid,17_9
17,11,咨询人,听到您的回答，我现在非常认可您们的态度。,positive,6,train,17_11
18,1,咨询人,你们的工作效率太低了，我已经等了一周还是没有通关，这也太不可思议了！,negative,3,train,18_1
18,3,咨询人,我的订单号是XYZ67890，可是我已经打了无数次电话询问，每次都说需要再处理一下，但是一周已经过去了，我的客户已经等不及了！,negative,1,train,18_3
18,5,咨询人,希望你们这次能够尽快通关我的货物，因为这对我的事业发展至关重要。,negative,1,test,18_5
18,7,咨询人,我真的很失望，如果再处理不好，我可能会考虑寻找其他可能的合作方。,negative,0,valid,18_7
19,1,咨询人,社保缴费系统一直无法正常使用，我真是生气透了！,negative,3,train,19_1
19,3,咨询人,你们的服务质量实在是太差了，我不接受这样的回答！,negative,0,train,19_3
19,5,咨询人,我现在感到非常着急，因为我需要及时完成缴费。,negative,1,train,19_5
19,7,咨询人,但是我现在已经感到非常失落了，这个问题一直没有解决。,negative,2,train,19_7
19,9,咨询人,但是我现在非常担心，这个问题会对我的信用造成影响。,negative,4,valid,19_9
19,11,咨询人,听到你们的回答，我现在认可您们正在尽力解决问题。,positive,6,train,19_11
20,1,咨询人,我已经等了好久，还是没有收到我的货物，这太让人失望了！,negative,3,valid,20_1
20,3,咨询人,我的订单号是XYZ12345，我昨天也打电话过来问，到现在还是没有收到我的货，这是怎么回事？,negative,4,train,20_3
20,5,咨询人,我真的很失望，我马上就要开展重要的业务活动，我需要这些货物支持我的工作，但是现在一切都没法进行。,negative,2,train,20_5
20,7,咨询人,我现在需要这些货物赶紧到货，你们可以保证吗？,negative,1,train,20_7
20,9,咨询人,我现在都不知道该怎么办了，如果这样下去，我可能会考虑取消订单,negative,0,train,20_9
21,1,咨询人,你们的服务真是太烂了，社保缴费系统一直出现问题！,negative,3,test,21_1
21,3,咨询人,我已经反复提交了多次工单，但是都没有得到解决。我不接受这样的回答！,negative,0,valid,21_3
21,5,咨询人,我着急缴费，但是系统总是提示出错，我该怎么办啊？！,negative,1,valid,21_5
21,7,咨询人,我已经尝试多次通过在线客服和热线电话进行咨询，但是都没有得到有效的解决方案。我感到非常失落。,negative,2,train,21_7
21,9,咨询人,我现在真的非常担心，如果这个问题得不到及时解决，对我的未来退休金会有很大影响。,negative,4,train,21_9
21,11,咨询人,听到你们的回答，我现在认可您们正在积极处理问题。,positive,6,valid,21_11
22,1,咨询人,你们的社保缴费系统简直就是垃圾，我已经交了钱，但是几天过去了还是没有反应！,negative,3,test,22_1
22,3,咨询人,你们的客服态度也太恶劣了，我感到非常失望！,negative,2,train,22_3
22,5,咨询人,我现在非常担心我的社保缴费是否有效，对此你们一点都不负责任！,negative,4,train,22_5
22,7,咨询人,听你这么说，我现在感觉稍微平和了一些。,positive,5,train,22_7
22,9,咨询人,如果今天还不能解决我的问题，我将不得不寻求其他途径。,negative,1,valid,22_9
22,11,咨询人,听到你们这样说，我认可你们会及时处理问题。,positive,6,valid,22_11
23,1,咨询人,你们的社保缴费系统还真是够坑爹的，交了一堆钱就是没反应！,negative,3,train,23_1
23,3,咨询人,我现在已经等了好几天，你们还没有给我任何答复，这样的服务态度真是差劲！,negative,3,train,23_3
23,5,咨询人,如果你们不能解决我的问题，我要如何申诉？,negative,1,train,23_5
23,7,咨询人,听你这么说，我稍微平静了一些。,positive,5,train,23_7
23,9,咨询人,那我能不能知道你们的处理进展？,negative,4,valid,23_9
23,11,咨询人,好吧，我现在认可你们还算是有点诚信。,positive,6,train,23_11
24,1,咨询人,你们的社保缴费系统怎么这么烂，都交了这么多钱还跟没交一样！,negative,3,train,24_1
24,3,咨询人,你们之前说会给我反馈，到现在都过去一个星期了，我需要你们解释一下。,negative,3,train,24_3
24,5,咨询人,我现在已经没耐心了，你们到底要不要负责任？,negative,3,valid,24_5
24,7,咨询人,我已经等了好几天了，现在你们还要我再等几天？,negative,3,train,24_7
24,9,咨询人,早知道你们这么不靠谱，我就不应该选你们的服务。,negative,3,train,24_9
24,11,咨询人,我现在很担心我的社保缴纳记录，你们能不能给我一个清晰的交费报告？,negative,4,test,24_11
24,13,咨询人,好吧，只要你们能给我解决问题，我现在还算认可你们的态度。,positive,6,train,24_13
25,1,咨询人,当初我没信心社保还是不要交了吧，现在退休了连基本养老金都拿不到。,negative,3,train,25_1
25,3,咨询人,钱不够怎么办？明明是应该单位承担的费用，现在却全落到我们头上！,negative,3,train,25_3
25,5,咨询人,我觉得这些政策都是坑人的，我们老百姓根本享受不到什么福利！,negative,3,train,25_5
25,7,咨询人,我只想问，我现在还能不能补交社保呢？,negative,4,train,25_7
25,9,咨询人,好的，谢谢你的帮助。,positive,6,train,25_9
26,1,咨询人,你们社保部门这么混乱，根本不知道该去哪里办理！,negative,3,train,26_1
26,3,咨询人,光提供联系方式有用吗？还不是要自己费劲心思跑来跑去，这根本就不是服务！,negative,3,train,26_3
26,5,咨询人,嗯，我也知道你们也是被压力迫着这样做，可是我们老百姓怎么办啊？,negative,4,train,26_5
26,7,咨询人,好吧，我会考虑的。,positive,5,train,26_7
27,1,咨询人,我就是想问一下为什么我交了这么多年社保，现在突然说不能享受一些待遇了？,negative,3,train,27_1
27,3,咨询人,我看这个政策不公平，以后还怎么相信国家？,negative,3,train,27_3
27,5,咨询人,那我现在该怎么办啊？我已经缴纳了那么多社保，现在却没法享受待遇！,negative,1,test,27_5
27,7,咨询人,好吧，那我去试一试吧。,positive,6,valid,27_7
28,1,咨询人,社保局的工作人员态度太恶劣了，我都不想去办理了！,negative,3,train,28_1
28,3,咨询人,他们态度很差，故意刁难，让人非常难受！,negative,3,train,28_3
28,5,咨询人,那我怎么知道哪个机构服务好呢？,negative,4,train,28_5
28,7,咨询人,好的，那我先试试其他机构吧。,positive,6,train,28_7
29,1,咨询人,我想查询一下我的社保缴纳情况，但查不到任何记录，这是怎么回事？,negative,4,train,29_1
29,3,咨询人,我已经去社保局查询了，但工作人员态度差，根本没有解决我的问题！,negative,3,test,29_3
29,5,咨询人,可以的，那给我电话号码吧。,positive,6,train,29_5
30,1,咨询人,我刚刚去社保局缴费，但是他们不肯接受我的现金，让我一定要用支付宝或者微信缴费，这太不合理了！,negative,3,train,30_1
30,3,咨询人,可是我没有支付宝或微信怎么办？,negative,4,valid,30_3
30,5,咨询人,好的，谢谢你的帮助。,positive,5,valid,30_5
31,1,咨询人,我已经缴费了，但是社保局的系统一直显示未缴费成功，这让我很烦躁！,negative,3,train,31_1
31,3,咨询人,好的，我会去银行查询一下，谢谢你的帮助。,positive,6,train,31_3
31,5,咨询人,我刚才去银行查了，发现钱确实被扣了，社保局的问题怎么这么多啊！,negative,3,train,31_5
31,7,咨询人,好的，谢谢你。,positive,5,train,31_7
32,1,咨询人,我想咨询一下为什么我的社保缴费金额比别人高那么多！,negative,3,train,32_1
32,3,咨询人,但是我看了一下规定，我的缴费基数和其他人的都差不多啊！这怎么解释？,negative,0,valid,32_3
32,5,咨询人,好的，我会去社保局问一下，不过我现在真的很生气。,negative,3,train,32_5
32,7,咨询人,好的，谢谢你们的建议。,positive,6,test,32_7
33,1,咨询人,我不明白为什么社保局一直在延迟我的缴费，这是怎么回事啊！,negative,3,train,33_1
33,3,咨询人,但是我已经等了好久了，一点结果都没有，这让我很着急。,negative,1,train,33_3
33,5,咨询人,好的，我会继续联系社保局，但是如果一直无法解决看起来我只能放弃缴费了。,negative,5,train,33_5
33,7,咨询人,好的，我会再次尝试联系社保局，谢谢你们的帮助。,positive,6,valid,33_7
34,1,咨询人,我完全不明白社保局为什么要扣这么多钱，这简直就是抢劫！,negative,3,train,34_1
34,3,咨询人,但是其他人的社保费用都比我低很多，这到底是怎么回事？,negative,0,train,34_3
34,5,咨询人,那还不如直接取消社保算了，反正也不知道里面的钱到底用在哪里了！,negative,3,train,34_5
34,7,咨询人,好的，我会重新考虑一下自己的想法，不过希望能够有更加明确的缴费解释。,negative,4,train,34_7
35,1,咨询人,我发现社保缴费多收了一些，这是怎么回事？,negative,3,train,35_1
35,3,咨询人,我已经去社保机构申诉过了，但他们说并没有错误，我该怎么办？,negative,0,train,35_3
35,5,咨询人,好的，谢谢你们的帮助，我会继续跟进这个问题。,positive,6,test,35_5
35,7,咨询人,我还想了解一下社保缴费是否支持通过支付宝或微信进行缴纳？,positive,5,train,35_7
35,9,咨询人,好的，谢谢你们的答疑解惑。,positive,6,valid,35_9
36,1,咨询人,我已经连续缴纳了多年的社保，但最近发现我的社保账户上已经没有金额了，这是什么鬼？,negative,3,train,36_1
36,3,咨询人,你们要是早这么说就好了，赶紧给我核查一下！,negative,1,train,36_3
36,5,咨询人,好的，我等待核查结果。,positive,5,test,36_5
36,7,咨询人,可是我目前手头比较紧，没有社保报销的话，医药费用真的很难承担，我很着急啊。,negative,1,valid,36_7
36,9,咨询人,好吧，我会去联系社保机构的工作人员，谢谢你们的帮助。,positive,6,test,36_9
37,1,咨询人,我的社保账户上一直有足够的缴费金额，但是今天突然发现已经被划走了20万，你们这是怎么回事？,negative,3,test,37_1
37,3,咨询人,我要求立即退回这笔款项，否则我就要投诉到相关部门去！,negative,0,valid,37_3
37,5,咨询人,要是等你们核实完还需要很久的时间，我该如何是好？,negative,4,train,37_5
37,7,咨询人,那就好，我就等你们的好消息了。,positive,5,train,37_7
37,9,咨询人,好的，我相信你们会尽快处理好这件事。,positive,6,train,37_9
38,1,咨询人,我连续缴纳了多年社保，但是现在却发现我的缴费记录上根本没有任何记录，这是怎么回事？！,negative,3,train,38_1
38,3,咨询人,你们得快点解决问题啊，不然我怎么办？,negative,1,train,38_3
38,5,咨询人,可我现在很担心呢，这样的情况会给我带来非常大的影响！,negative,4,train,38_5
38,7,咨询人,好的，那我就等待你们的通知了。,positive,5,test,38_7
38,9,咨询人,好的，我相信你们能够尽快解决这个问题。,positive,6,train,38_9
39,1,咨询人,我的社保账户里的缴费金额突然被别人转走了，你们这是怎么回事？！,negative,3,valid,39_1
39,3,咨询人,你们得快点解决啊，我现在连基本开销都困难了！,negative,2,train,39_3
39,5,咨询人,那我需要去报警吗？这是很严重的违法犯罪行为啊！,negative,0,train,39_5
39,7,咨询人,好吧，那你们得快点解决啊，我真心觉得你们的工作非常不负责！,negative,3,test,39_7
39,9,咨询人,好的，那我就等待你们的通知了。,positive,5,test,39_9
40,1,咨询人,你们这边社保转移时出了问题，一直拖着我不能领取社保，怎么回事啊？,negative,3,train,40_1
40,3,咨询人,你们现在就帮我处理好不好？我已经几个月没有拿到社保了！,negative,1,valid,40_3
40,5,咨询人,我现在真的很担心我的社保会不会再次被耽搁。,negative,4,train,40_5
40,7,咨询人,好的，那请尽快处理好我的问题吧。,positive,5,train,40_7
40,9,咨询人,好的，我相信你们能够解决问题。,positive,6,test,40_9
41,1,咨询人,我已经缴纳了社保，可是到现在还没有收到社保卡和对账单，您们这是怎么回事啊！,negative,3,train,41_1
41,3,咨询人,我需要社保卡和对账单，可不可以尽快发给我？,negative,1,train,41_3
41,5,咨询人,这种情况是怎么回事啊？我觉得你们工作太不负责任了！,negative,3,valid,41_5
41,7,咨询人,好吧，希望你们能够尽快解决问题。,positive,5,train,41_7
41,9,咨询人,那我需要做什么才能拿到社保卡和对账单？,negative,4,train,41_9
42,1,咨询人,我缴纳社保已经两个月了，但是我的社保账户还没有更新缴费记录，你们公司这是什么情况啊！,negative,3,train,42_1
42,3,咨询人,我等待了这么长时间，怎么可能会出现这种问题呢！,negative,0,valid,42_3
42,5,咨询人,希望你们能够尽快解决问题，我很担心我的社保账户被误操作。,negative,1,train,42_5
42,7,咨询人,这对我造成的影响非常大，我真的很失落。,negative,2,test,42_7
42,9,咨询人,好吧，我相信你们能够处理好这件事情。,positive,6,train,42_9
42,11,咨询人,那我需要做什么才能确保社保账户的安全？,negative,4,train,42_11
43,1,咨询人,我在社保缴费时遇到了问题，怎么一直打不通你们公司的客服电话啊！,negative,3,train,43_1
43,3,咨询人,但是我已经尝试很多次了，每次都打不通，这到底是怎么回事啊！,negative,0,train,43_3
43,5,咨询人,我已经等得太久了，现在非常着急，希望你们能够尽快解决我的问题！,negative,1,train,43_5
43,7,咨询人,好吧，我希望你们能够认真对待我的问题，这对我非常重要。,positive,6,train,43_7
43,9,咨询人,现在我还是很担心我的社保账户会出现问题，你们能不能给我一个明确的答复？,negative,4,valid,43_9
44,1,咨询人,我已经在网上缴纳了社保，但是发现缴费金额不对，我该怎么办啊？,negative,3,train,44_1
44,3,咨询人,你们公司的客服电话打不通，我也发了很多邮件过去，但是都没有回应，这是怎么回事啊！,negative,0,train,44_3
44,5,咨询人,我已经等了很久了，这么多天过去了还是没有任何消息，我真的很失望！,negative,2,train,44_5
44,7,咨询人,这个问题对我非常重要，我需要知道具体的进展情况，你们能不能保证给我一个准确的答复？,negative,4,train,44_7
44,9,咨询人,好，我希望你们能够认真对待我的问题，并且尽快给我一个满意的答案。,positive,6,train,44_9
45,1,咨询人,我缴纳社保已经拖延很久了，你们到底什么时候才能处理啊？,negative,3,train,45_1
45,3,咨询人,我已经等了一个星期了，还是没有任何回复，这是怎么回事？,negative,0,test,45_3
45,5,咨询人,这个问题对我非常重要，你们必须要尽快解决，否则我只能选择投诉了！,negative,1,train,45_5
45,7,咨询人,我已经等待了这么长时间，还是没有任何消息，我觉得你们的服务质量真的很差！,negative,2,valid,45_7
45,9,咨询人,我非常担心这个问题不会得到解决，你们必须要尽快给我答复！,negative,4,train,45_9
45,11,咨询人,好吧，我希望你们能够认真对待我的问题，如果能够及时解决就更好了。,positive,6,train,45_11
46,1,咨询人,我已经连续两个月缴纳社保了，可是我的账户还没有任何更新，怎么回事？,negative,3,train,46_1
46,3,咨询人,我已经等待了很久，你们一直没有回复我，这种服务态度太差了！,negative,0,train,46_3
46,5,咨询人,我需要这个缴纳记录用于紧急事务，但是现在我却无法得到任何支援，我真的很着急！,negative,1,train,46_5
46,7,咨询人,我之前一直没有收到社保邮寄通知，也没有任何短信或电话通知，这是怎么回事？,negative,2,valid,46_7
46,9,咨询人,我对您们的服务质量非常失望，这个问题怎么还没有任何答复？,negative,3,train,46_9
46,11,咨询人,这个问题对我非常重要，我真的很担心会产生一些不良后果，你们必须要尽快解决！,negative,1,train,46_11
46,13,咨询人,好吧，我希望你们能够认真对待我的问题，如果能够及时解决就更好了。,positive,6,test,46_13
47,1,咨询人,我之前已经提出了社保缴费记录无法更新的问题，但是你们一直没有任何答复，这是怎么回事？,negative,3,test,47_1
47,3,咨询人,我已经多次咨询客服，并留下了我的联系方式，为什么一直没有任何回复？这种服务态度真的太差了！,negative,0,train,47_3
47,5,咨询人,我实在是无法理解，为什么社保缴费记录这么简单的问题，你们却处理不好？我真的很生气！,negative,3,train,47_5
47,7,咨询人,好吧，如果能够尽快解决我的问题，我会认可你们的服务态度的。,positive,6,train,47_7
47,9,咨询人,我真的是太着急了，我的社保记录还没有更新，我担心会有不良影响，你们必须要尽快解决！,negative,1,test,47_9
47,11,咨询人,好吧，我现在只希望你们能够真正的解决我的问题，这样我才能放心。,positive,5,valid,47_11
48,1,咨询人,我从去年开始就一直在咨询你们关于社保缴费的问题，但是每次都是一些模棱两可的回答，这种服务态度太差了！,negative,3,valid,48_1
48,3,咨询人,你们说的满意的答复是什么？我已经等了这么久，还没有看到任何进展！,negative,3,train,48_3
48,5,咨询人,我真的很担心我的社保记录出了问题，你们为什么不能把这个问题解决掉？,negative,4,train,48_5
48,7,咨询人,这个问题已经拖延了太久了，我已经考虑换别的公司办理社保了，你们觉得怎么样？,negative,0,valid,48_7
48,9,咨询人,好吧，只要你们能够尽快解决我的问题，我就认可你们的服务态度。,positive,6,valid,48_9
48,11,咨询人,如果你们不能在今天之前解决我的问题，我就真的没有必要再等下去了！,negative,1,train,48_11
48,13,咨询人,好吧，如果你们无法解决我的问题，那我就不得不考虑其他更可靠的服务商了！,negative,3,test,48_13
49,1,咨询人,我已经等了好几天，我的社保缴费问题还是没有解决，这种服务态度太差了！,negative,3,train,49_1
49,3,咨询人,我已经等了这么久，你们还要我再等？这简直是在玩弄人！,negative,3,train,49_3
49,5,咨询人,我现在真的不知道该怎么办了，我的社保记录出了问题，你们却无法解决，这太不负责任了！,negative,4,valid,49_5
49,7,咨询人,你们每次都说尽快，可结果就是一直拖着，这种承诺已经失去了信任！,negative,0,train,49_7
49,9,咨询人,好吧，如果你们能够尽快解决我的问题，我就暂时信任你们。,positive,6,train,49_9
